Id,Sales
1,4077.222412109375
857,4272.48388671875
1713,4653.74951171875
2569,5162.98681640625
3425,4811.18115234375
4281,4092.797607421875
5137,3603.634765625
5993,3491.985595703125
6849,3598.10791015625
7705,3680.788818359375
8561,4125.45654296875
9417,4358.212890625
10273,4280.1689453125
11129,4668.60888671875
11985,4872.462890625
12841,5485.97412109375
13697,5219.58984375
14553,5766.0166015625
15409,5408.4072265625
16265,4334.7255859375
17121,3886.47216796875
17977,3400.355712890625
18833,3540.933837890625
19689,3417.829345703125
20545,3629.004150390625
21401,4395.6806640625
22257,3769.606201171875
23113,4276.916015625
23969,4251.59912109375
24825,4373.56396484375
25681,4600.00732421875
26537,5266.298828125
27393,4600.3935546875
28249,3891.843994140625
29105,3684.080322265625
29961,3591.359375
30817,3488.928955078125
31673,3608.271728515625
32529,3913.585693359375
33385,4542.6630859375
34241,3937.57763671875
35097,4503.11376953125
35953,4503.69775390625
36809,4879.6162109375
37665,4977.8857421875
38521,5526.0830078125
39377,5663.0439453125
40233,4873.833984375
2,7553.97216796875
858,7983.30712890625
1714,9218.4814453125
2570,10090.2431640625
3426,4942.966796875
4282,4271.8115234375
5138,5739.8310546875
5994,5673.44091796875
6850,5707.52197265625
7706,5971.150390625
8562,6366.49658203125
9418,4508.45166015625
10274,4357.53955078125
11130,7654.466796875
11986,8161.05126953125
12842,9098.3671875
13698,9806.59375
14554,11532.708984375
15410,5205.1318359375
16266,4419.22412109375
17122,6008.412109375
17978,5484.34716796875
18834,5485.55029296875
19690,5530.6650390625
20546,5573.57763671875
21402,4802.95947265625
22258,3966.31103515625
23114,7400.21875
23970,7543.8486328125
24826,8049.65185546875
25682,8813.58203125
26538,10565.580078125
27394,5046.6884765625
28250,4084.747314453125
29106,5755.35693359375
29962,5910.52978515625
30818,5774.81201171875
31674,6159.74560546875
32530,6206.27685546875
33386,4786.04736328125
34242,4295.35546875
35098,7857.49072265625
35954,7890.0166015625
36810,8313.044921875
37666,8688.8583984375
38522,9900.517578125
39378,6345.22998046875
40234,5450.2568359375
3,8812.220703125
859,9103.427734375
1715,10918.521484375
2571,12662.412109375
3427,3228.885986328125
4283,6178.77001953125
5139,7913.77978515625
5995,7504.3779296875
6851,7454.14990234375
7707,8048.630859375
8563,8773.734375
9419,3223.146240234375
10275,6322.3212890625
11131,9716.794921875
11987,10008.341796875
12843,11559.2373046875
13699,13023.2138671875
14555,13610.4453125
15411,3712.214111328125
16267,7071.20654296875
17123,9249.1474609375
17979,7844.63330078125
18835,7667.0859375
19691,7688.5205078125
20547,8405.1142578125
21403,3186.08544921875
22259,6030.64404296875
23115,9996.3984375
23971,9639.4970703125
24827,9829.3115234375
25683,11557.396484375
26539,14009.8779296875
27395,3562.44140625
28251,6346.294921875
29107,8759.2275390625
29963,8516.3779296875
30819,8211.513671875
31675,8859.4736328125
32531,9497.5869140625
33387,3649.6640625
34243,6614.859375
35099,10509.1982421875
35955,10267.619140625
36811,10485.0693359375
37667,11935.8251953125
38523,14264.7470703125
39379,4492.044921875
40235,8115.990234375
4,6837.64013671875
860,6802.84375
1716,7812.66748046875
2572,9053.923828125
3428,4008.9443359375
4284,3420.396240234375
5140,4986.81103515625
