trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",20,0,-104.740569696037,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9801}",20,9,-49.44989787891509,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.6, 'e': 0.9702989999999999}",30,0,-133.7689661110667,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.96059601}",25,0,-21.24430525025136,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",20,0,-129.30964761014806,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.9414801494009999}",30,0,-69.55557205078125,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",35,24,-12.213534159719847,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.6, 'e': 0.92274469442792}",20,0,-55.37898796028329,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9135172474836407}",20,0,-67.06682240517807,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.6, 'e': 0.9043820750088043}",35,0,-207.93397497800754,"{0: 21, 1: 5, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.6, 'e': 0.8953382542587163}",25,0,-171.71912059384852,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
12,False,"{'a': 0.6, 'e': 0.8863848717161291}",20,6,-122.28363551087561,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 2}",1
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-94.21625648496622,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8687458127689781}",30,5,-68.46949945035374,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.6, 'e': 0.8600583546412883}",30,0,-166.21636703892466,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.6, 'e': 0.8514577710948754}",25,0,-88.2516202180992,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.8429431933839266}",20,0,-24.162331440732146,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.8345137614500874}",25,0,-45.16202815287074,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.8261686238355865}",20,4,-20.953860618782038,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': 0.8179069375972307}",35,0,-99.12685915400336,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.8097278682212583}",30,0,-91.69756922248995,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
22,False,"{'a': 0.6, 'e': 0.8016305895390458}",20,0,-42.68942954680063,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.7936142836436553}",20,2,-93.52754744837961,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 2}",1
24,False,"{'a': 0.6, 'e': 0.7856781408072188}",20,0,-15.790785605438879,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.7778213593991465}",20,0,-88.60256204085388,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.7700431458051551}",25,0,-238.43851742885545,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
27,False,"{'a': 0.6, 'e': 0.7623427143471035}",20,0,-87.7994170510586,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.7547192872036325}",25,0,-96.62973629318918,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.7471720943315961}",20,3,-119.76105081868516,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
30,False,"{'a': 0.6, 'e': 0.7397003733882802}",25,0,-61.37766105312369,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.7323033696543974}",25,0,-164.46278170068578,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
32,False,"{'a': 0.6, 'e': 0.7249803359578534}",20,0,-139.10231554567048,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.6, 'e': 0.7177305325982748}",25,0,-161.4065727772087,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
34,False,"{'a': 0.6, 'e': 0.7105532272722921}",20,0,-74.32342452618037,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.7034476949995692}",25,0,-200.2889180781572,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",0
36,False,"{'a': 0.6, 'e': 0.6964132180495735}",25,0,-118.70075323315433,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.6, 'e': 0.6894490858690777}",20,0,-78.18171837146167,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
38,False,"{'a': 0.6, 'e': 0.682554595010387}",20,0,-20.212286416356108,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.6, 'e': 0.6757290490602831}",25,5,-83.3420876689509,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
40,False,"{'a': 0.6, 'e': 0.6689717585696803}",25,11,-20.622022766257242,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.6, 'e': 0.6622820409839835}",20,11,-49.55319459807826,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
