trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9999875000260416}",25,9,-63.74676095714852,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
2,False,"{'a': 0.7, 'e': 0.9999500004166653}",20,0,-21.658401723252513,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.9998875021093592}",20,0,-117.50916661946562,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.7, 'e': 0.9998000066665778}",25,0,-45.675428420971784,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.9996875162757026}",30,0,-118.54487836594019,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.9995500337489875}",30,8,-56.07931971332998,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.9993875625234886}",30,0,-138.82553376550425,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.9992001066609779}",25,0,-247.98171073242477,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 5}",0
9,False,"{'a': 0.7, 'e': 0.9989876708478425}",25,16,-32.22857043034202,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.7, 'e': 0.9987502603949663}",25,0,-171.99787067872907,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.7, 'e': 0.9984878812375985}",20,0,-39.80162352168459,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.9982005399352042}",25,0,-64.2468687661828,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.9978882436713011}",20,0,-94.6814339681678,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.9975510002532796}",35,0,-123.77205210734266,"{0: 25, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.9971888181122075}",20,0,-111.8902961360718,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.9968017063026194}",20,0,-115.09123148427314,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.7, 'e': 0.9963896745022904}",20,13,-18.480250407110738,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.9959527330119943}",20,0,-92.10236985255423,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.9954908927552453}",20,0,-163.38062094052395,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.7, 'e': 0.9950041652780257}",20,6,-7.803611348080994,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
