/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

('forward', 'green', None)
 -- forward : 2.11
 -- None : -4.99
 -- right : 0.57
 -- left : 0.67

('left', 'green', 'forward')
 -- forward : -0.03
 -- None : -5.09
 -- right : 1.58
 -- left : -19.44

('right', 'green', None)
 -- forward : 0.81
 -- None : -4.68
 -- right : 2.23
 -- left : 0.15

('right', 'green', 'right')
 -- forward : 0.80
 -- None : -4.64
 -- right : 1.28
 -- left : -11.52

('forward', 'green', 'left')
 -- forward : 1.24
 -- None : 0.30
 -- right : 0.84
 -- left : 0.28

('left', 'green', 'right')
 -- forward : 0.37
 -- None : -5.17
 -- right : -0.19
 -- left : -16.76

('right', 'red', 'forward')
 -- forward : -35.14
 -- None : 2.15
 -- right : -11.49
 -- left : -12.28

('forward', 'red', 'forward')
 -- forward : -16.57
 -- None : 1.82
 -- right : -1.86
 -- left : -35.53

('left', 'red', None)
 -- forward : -11.41
 -- None : 1.49
 -- right : -1.44
 -- left : -9.35

('forward', 'red', 'right')
 -- forward : -13.73
 -- None : 1.71
 -- right : -12.68
 -- left : -39.18

('left', 'red', 'left')
 -- forward : -34.88
 -- None : 1.63
 -- right : 0.68
 -- left : -10.34

('right', 'red', 'left')
 -- forward : -16.53
 -- None : 1.14
 -- right : 1.76
 -- left : -28.97

('right', 'red', 'right')
 -- forward : -30.59
 -- None : 2.13
 -- right : -0.76
 -- left : -40.16

('left', 'red', 'right')
 -- forward : -28.53
 -- None : 1.98
 -- right : 0.38
 -- left : -39.62

('right', 'green', 'forward')
 -- forward : 0.58
 -- None : -5.26
 -- right : 1.80
 -- left : -20.59

('forward', 'green', 'forward')
 -- forward : 1.77
 -- None : -5.46
 -- right : 0.20
 -- left : -20.34

('forward', 'red', 'left')
 -- forward : -17.73
 -- None : 1.84
 -- right : 0.48
 -- left : -10.63

('left', 'green', None)
 -- forward : 0.73
 -- None : -4.79
 -- right : 0.80
 -- left : 2.43

('forward', 'green', 'right')
 -- forward : 1.97
 -- None : -5.06
 -- right : 0.86
 -- left : -18.44

('forward', 'red', None)
 -- forward : -10.44
 -- None : 1.46
 -- right : 0.62
 -- left : -10.91

('left', 'red', 'forward')
 -- forward : -11.80
 -- None : 1.78
 -- right : 0.60
 -- left : -11.09

('right', 'red', None)
 -- forward : -21.69
 -- None : 1.85
 -- right : -13.66
 -- left : -35.03

('left', 'green', 'left')
 -- forward : 0.98
 -- None : 0.14
 -- right : 0.17
 -- left : 1.92

('right', 'green', 'left')
 -- forward : 0.29
 -- None : 0.63
 -- right : 1.64
 -- left : 1.20

