trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9999875000260416}",35,0,-166.49594751823616,"{0: 21, 1: 3, 2: 6, 3: 4, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.9999500004166653}",20,0,-157.3339529497021,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
3,False,"{'a': 0.9, 'e': 0.9998875021093592}",25,0,-136.48650064105846,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",0
4,False,"{'a': 0.9, 'e': 0.9998000066665778}",35,0,-187.62468718290472,"{0: 17, 1: 6, 2: 8, 3: 3, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9996875162757026}",25,0,-108.52084165879577,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.9, 'e': 0.9995500337489875}",30,0,-152.12461254595303,"{0: 14, 1: 7, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9993875625234886}",25,0,-70.03199879537128,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.9, 'e': 0.9992001066609779}",20,0,-117.63834437770927,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.9989876708478425}",30,0,-228.80494370752712,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
10,False,"{'a': 0.9, 'e': 0.9987502603949663}",20,0,-97.78820101588026,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': 0.9984878812375985}",30,0,-93.3969523894692,"{0: 21, 1: 1, 2: 5, 3: 3, 4: 0}",0
12,False,"{'a': 0.9, 'e': 0.9982005399352042}",25,0,-56.99628819022874,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.9978882436713011}",20,0,-121.51348009910221,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.9, 'e': 0.9975510002532796}",20,0,-147.4889761574143,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
15,False,"{'a': 0.9, 'e': 0.9971888181122075}",20,0,-118.29905887625621,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.9968017063026194}",25,19,2.0709618200737947,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.9963896745022904}",25,1,-83.89463148881597,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 1}",1
18,False,"{'a': 0.9, 'e': 0.9959527330119943}",20,0,-226.03457298667763,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 5}",0
19,False,"{'a': 0.9, 'e': 0.9954908927552453}",20,0,-157.62544769746032,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
20,False,"{'a': 0.9, 'e': 0.9950041652780257}",20,0,-59.54050241146045,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.9944925627484974}",35,0,-97.98935627434216,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.9, 'e': 0.9939560979566968}",25,16,1.0936579804902533,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.9, 'e': 0.9933947843142158}",20,0,-97.16578374405715,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
24,False,"{'a': 0.9, 'e': 0.9928086358538663}",25,0,-123.43807706037325,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
25,False,"{'a': 0.9, 'e': 0.992197667229329}",20,0,-161.23969714865575,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
26,False,"{'a': 0.9, 'e': 0.9915618937147881}",25,0,-181.67811754912245,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
27,False,"{'a': 0.9, 'e': 0.9909013312045479}",20,0,-112.10820865463862,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.9902159962126371}",20,0,-139.050132263428,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
29,False,"{'a': 0.9, 'e': 0.9895059058723947}",25,0,-118.18163372863764,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.9, 'e': 0.9887710779360422}",20,0,-123.26471472711196,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
