trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",20,14,8.290290175422442,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",30,0,-189.202181995167,"{0: 15, 1: 2, 2: 10, 3: 1, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",25,0,-135.4647538927937,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",25,0,-79.83644014628027,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,0,-123.133905803516,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",20,0,-71.36912266057983,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",20,0,-8.42409397570932,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",20,0,-60.60226097806862,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",20,0,-23.96371866671466,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",20,12,-70.66293636558689,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",35,0,-112.19721308793315,"{0: 29, 1: 0, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",30,0,-10.39980907788216,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",25,15,20.152573133242186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",20,6,16.99109696825711,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",25,18,14.164800825723637,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",25,7,-51.89131277253164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",25,4,33.01600242756659,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",20,4,-11.59897429585891,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",35,7,28.12838209541813,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",25,19,10.940212849764693,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,32.46036110164292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,8,20.199674910222406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,9,28.912842280955584,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,30.57415416563474,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,10,23.512992764324505,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,5,14.529758632611141,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,27.323720117196338,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,8.064952789037942,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,3,34.858803952877054,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,23.46702819298774,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,17,14.098834150754673,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,5,-1.5681029013092296,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,True,"{'a': 0, 'e': 0}",30,10,32.55091400492603,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,9,7.928438899939793,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,12,31.963811971322926,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,5,23.054162264130863,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,0,-22.56657548367948,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",35,16,36.15392727236802,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,11,17.139066224393506,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,0,36.029322375377035,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
