trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999875000260416}",25,0,-108.25305321640418,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999500004166653}",30,0,-91.84901038266212,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9998875021093592}",25,0,-54.11969715019878,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9998000066665778}",20,0,-64.83048108100415,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-100.15282558402961,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-116.6234964197771,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9993875625234886}",20,0,-89.01703042236146,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,4,-13.291809119221016,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9989876708478425}",25,0,-92.38233595151928,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-99.99453870462425,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9984878812375985}",20,0,-107.31240590223516,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-110.04394621964127,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9978882436713011}",20,0,-52.6920201430963,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9975510002532796}",20,0,-141.73502654908265,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-181.91919724472697,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-206.06922288465842,"{0: 7, 1: 3, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.9963896745022904}",25,0,-98.78132588893408,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9959527330119943}",30,0,-56.663502258826206,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-75.63322022719508,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9950041652780257}",30,0,-124.20219541745473,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,8,-66.65707566147891,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-75.433411901857,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9933947843142158}",20,0,-100.93606830938876,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9928086358538663}",20,15,-4.852799257460632,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.992197667229329}",25,0,-98.65702468502866,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,-56.91592014731821,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9909013312045479}",30,0,-126.44201188765787,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-129.483330356357,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9895059058723947}",25,12,-67.74504792971561,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.9887710779360422}",25,15,-36.03910208228804,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9880115307742399}",30,0,-121.98179277526782,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-151.68962505600348,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9864183553463477}",20,0,-57.23114115431375,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,0,-129.8825109909507,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.9847265389049334}",25,0,-89.2394264402227,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-237.39980295446105,"{0: 10, 1: 2, 2: 8, 3: 2, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9829362506302315}",25,0,-136.11533656716213,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.9820042351172703}",25,0,-116.56612428029855,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.9810476695495772}",20,0,-107.45494584074852,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,0,-109.2702836811668,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.9790609845195051}",20,0,-180.19167930270132,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-242.06473413762637,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 5}",0
43,False,"{'a': 0.5, 'e': 0.9769763942068623}",20,0,-94.94405970449183,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,0,-153.09729367756697,"{0: 13, 1: 4, 2: 3, 3: 4, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9747941070689433}",25,0,-89.0788402720271,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,9,-55.631349713227294,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.972514341332643}",20,0,-184.56047234621033,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-48.32259875411003,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9701373249726354}",20,0,-232.2837195196574,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 5}",0
50,False,"{'a': 0.5, 'e': 0.9689124217106447}",25,0,-139.89218094631428,"{0: 9, 1: 4, 2: 11, 3: 1, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9676632956885756}",25,4,-26.12390049719202,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-175.83190196058626,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9650925008813303}",30,13,-121.45790104380043,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,16,9.11043501600383,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.962425197628238}",20,0,-110.65774747234886,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-70.09030427711487,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
