trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.99}",20,3,-121.01336217686912,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.6, 'e': 0.9801}",30,0,-154.5903973788614,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.9702989999999999}",20,0,-36.2533144188582,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.96059601}",20,0,-14.411619852538822,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9509900498999999}",20,0,-51.39943395313856,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.9414801494009999}",25,0,-133.5798481212852,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9320653479069899}",20,0,-150.21396202871955,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.92274469442792}",25,0,-156.30031194418106,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.6, 'e': 0.9135172474836407}",25,13,-4.6660193675274755,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': 0.9043820750088043}",30,0,-177.62166563707333,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.8953382542587163}",35,0,-186.5785215860081,"{0: 21, 1: 2, 2: 8, 3: 2, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.8863848717161291}",25,10,-138.33261124510145,"{0: 7, 1: 0, 2: 5, 3: 1, 4: 2}",1
13,False,"{'a': 0.6, 'e': 0.8775210229989678}",20,0,-78.00060364159654,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.8687458127689781}",30,0,-228.2341579078497,"{0: 17, 1: 4, 2: 3, 3: 2, 4: 4}",0
15,False,"{'a': 0.6, 'e': 0.8600583546412883}",20,11,-75.19118910102169,"{0: 5, 1: 1, 2: 0, 3: 2, 4: 1}",1
16,False,"{'a': 0.6, 'e': 0.8514577710948754}",25,15,-17.531943963418477,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.6, 'e': 0.8429431933839266}",25,0,-129.5955827358068,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.8345137614500874}",20,10,-56.0443102197173,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.6, 'e': 0.8261686238355865}",30,0,-168.8204765733832,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.6, 'e': 0.8179069375972307}",20,0,-71.60867413968585,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.8097278682212583}",25,15,-41.67052642116466,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.8016305895390458}",30,0,-61.80839438822622,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.6, 'e': 0.7936142836436553}",25,0,-81.67395303734006,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
