trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",20,0,-134.39077436009973,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",20,0,-139.08372579925677,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",20,0,-160.54913153771741,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",20,0,-97.70631523393469,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",25,0,-94.53074940966772,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",20,0,-131.42941452565185,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",25,0,-55.58287013867566,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",25,0,-193.87673134750582,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",25,0,-54.09199489655052,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",25,0,-195.81319652994034,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",20,0,-56.17198025090062,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",20,0,-98.75722338639676,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",20,0,-146.16823825526544,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",25,0,-9.531308055697076,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",30,0,-102.3211680059968,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 0}",0
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",20,0,-41.900628272638755,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",25,14,-19.64048405485832,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",20,0,-118.33711498047201,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",25,2,10.625065722643287,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",25,0,-62.4844912257478,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-164.8830031909346,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",20,0,-43.46810950225982,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,3,-3.9198000890541898,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,0,-143.24158882608774,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-112.53279262706018,"{0: 12, 1: 1, 2: 12, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-80.34311955373043,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,5,6.145925538049481,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-40.05107610454459,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-39.96768982660156,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-8.458149287541092,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,0,-132.48780408895573,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
12,True,"{'a': 0, 'e': 0}",20,0,-58.25399195065334,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,True,"{'a': 0, 'e': 0}",30,0,-62.74681412520163,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",30,0,-62.25663099937295,"{0: 21, 1: 0, 2: 9, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",30,3,-14.388857978783534,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,1.2549360890573433,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",25,0,-63.295857060196454,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,True,"{'a': 0, 'e': 0}",20,0,-58.25011732269841,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,True,"{'a': 0, 'e': 0}",35,0,-226.51651378381192,"{0: 19, 1: 1, 2: 12, 3: 0, 4: 3}",0
20,True,"{'a': 0, 'e': 0}",25,0,-64.76451269084791,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
